"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1822","verifyEmptySearchGetsNoResultsTestCase","Default Suite","2025-11-23","failed","2025-11-23","HomeTest","FullProject","HomeTest","verifyEmptySearchGetsNoResultsTestCase"
"","3450","addProductWithoutLoginTC","Default Suite","2025-11-21","failed","2025-11-21","ProductDetailsTest","FullProject","ProductDetailsTest","addProductWithoutLoginTC"
"","37","setUp","Default Suite","2025-11-23","broken","2025-11-23","LoginTest","FullProject","LoginTest","setUp"
"","11304","addProductToCartWithOptionsWithoutLoginTC","Default Suite","2025-11-24","passed","2025-11-24","ProductDetailsTest","FullProject","ProductDetailsTest","addProductToCartWithOptionsWithoutLoginTC"
"","144","verifyProductAddedToWishlistTC","Default Suite","2025-11-25","passed","2025-11-25","WishlistTest","FullProject","WishlistTest","verifyProductAddedToWishlistTC"
"","7494","selectProductOptionsWithoutLoginTC","Default Suite","2025-11-24","passed","2025-11-24","ProductDetailsTest","FullProject","ProductDetailsTest","selectProductOptionsWithoutLoginTC"
"","7929","validLoginWithRememberMeTest","Default Suite","2025-11-17","passed","2025-11-17","LoginLogutTest","FullProject","LoginLogutTest","validLoginWithRememberMeTest"
"","4708","verifyAddToCartTC","Default Suite","2025-11-25","failed","2025-11-25","CategoryTest","FullProject","CategoryTest","verifyAddToCartTC"
"","10239","verifyChoosingOptionsTC","Default Suite","2025-11-25","passed","2025-11-25","ProductTest","FullProject","ProductTest","verifyChoosingOptionsTC"
"","5302","navigateToForgotPasswordPageTest","Default Suite","2025-11-17","passed","2025-11-17","LoginLogutTest","FullProject","LoginLogutTest","navigateToForgotPasswordPageTest"
"","1214","verifyNavigatingToCheckOutPageWithoutTermsOfServicesTC","Default Suite","2025-11-25","failed","2025-11-25","ShoppingCartTest","FullProject","ShoppingCartTest","verifyNavigatingToCheckOutPageWithoutTermsOfServicesTC"
"","13120","addToCartTC","Default Suite","2025-11-20","broken","2025-11-20","HomeTest","FullProject","HomeTest","addToCartTC"
"","10","setUp","Default Suite","2025-11-25","broken","2025-11-25","CheckOutTest","FullProject","CheckOutTest","setUp"
"","9225","updateProductQuantityTC","Default Suite","2025-11-25","passed","2025-11-25","ShoppingCartTest","FullProject","ShoppingCartTest","updateProductQuantityTC"
"","2607","navigateToForgotPasswordPageTC","Default Suite","2025-11-19","passed","2025-11-19","LoginTest","FullProject","LoginTest","navigateToForgotPasswordPageTC"
"","13747","SearchWithValidProductNameTC","Default Suite","2025-11-20","passed","2025-11-20","HomeTest","FullProject","HomeTest","SearchWithValidProductNameTC"
"","1729","verifyRegisterWithEmptyLastNameAndEmailTestCase","Default Suite","2025-11-23","failed","2025-11-23","RegisterTest","FullProject","RegisterTest","verifyRegisterWithEmptyLastNameAndEmailTestCase"
"","10004","navigateToProductDetailsPageTC","Default Suite","2025-11-25","passed","2025-11-25","ProductTest","FullProject","ProductTest","navigateToProductDetailsPageTC"
"","5096","verifyAddToCartButtonsAreDisplayedTC","Default Suite","2025-11-25","failed","2025-11-25","CategoryTest","FullProject","CategoryTest","verifyAddToCartButtonsAreDisplayedTC"
"","748","Verify that the user can navigate to checkout Page without login","Default Suite","2025-11-25","failed","2025-11-25","ShoppingCartTest","FullProject","ShoppingCartTest","verifyNavigatingToCheckOutPageWithoutLoginAndTermsOfServicesTC"
"","4046","customeProductTC","Default Suite","2025-11-21","failed","2025-11-21","ProductDetailsTest","FullProject","ProductDetailsTest","customeProductTC"
"","6277","addProductWithLoginTC","Default Suite","2025-11-21","failed","2025-11-21","ProductDetailsTest","FullProject","ProductDetailsTest","addProductWithLoginTC"
"","1","tearDown","Automation Exercise","2025-10-31","broken","2025-10-31","HomeTest","FullProject","HomeTest","tearDown"
"","42372","loginTest","Default Suite","2025-11-17","passed","2025-11-17","LoginLogutTest","FullProject","LoginLogutTest","loginTest"
"","4374","verifyFeaturedProductsDisplayedTestCase","Default Suite","2025-11-23","passed","2025-11-23","HomeTest","FullProject","HomeTest","verifyFeaturedProductsDisplayedTestCase"
"","1842","verifyRemoveProductFromWishlistTC","Default Suite","2025-11-25","passed","2025-11-25","WishlistTest","FullProject","WishlistTest","verifyRemoveProductFromWishlistTC"
"","6886","addProductToCartWithoutOptionsTC","Default Suite","2025-11-25","failed","2025-11-25","ProductDetailsTest","FullProject","ProductDetailsTest","addProductToCartWithoutOptionsTC"
"","12679","verifyProductPageOptionsTC","Default Suite","2025-11-24","passed","2025-11-24","ProductTest","FullProject","ProductTest","verifyProductPageOptionsTC"
"","2517","navigateToRegisterPageTest","Default Suite","2025-11-17","passed","2025-11-17","LoginLogutTest","FullProject","LoginLogutTest","navigateToRegisterPageTest"
"","3","setUp","Default Suite","2025-11-23","broken","2025-11-23","RegisterTest","FullProject","RegisterTest","setUp"
"","3935","validLoginWithoutRememberMeTest","Default Suite","2025-11-17","failed","2025-11-17","LoginLogutTest","FullProject","LoginLogutTest","validLoginWithoutRememberMeTest"
"","1646","invalidLoginTC","Default Suite","2025-11-19","failed","2025-11-19","LoginTest","FullProject","LoginTest","invalidLoginTC"
"","8845","verifyValidLoginTC","Default Suite","2025-11-23","passed","2025-11-23","LoginTest","FullProject","LoginTest","verifyValidLoginTC"
"","7793","addProductToCartWithOptionsWithLoginTC","Default Suite","2025-11-24","passed","2025-11-24","ProductDetailsTest","FullProject","ProductDetailsTest","addProductToCartWithOptionsWithLoginTC"
"","5614","inValidSearchTC","Default Suite","2025-11-19","passed","2025-11-19","HomeTest","FullProject","HomeTest","inValidSearchTC"
"","7004","validLoginTC","Default Suite","2025-11-17","passed","2025-11-17","LogutTest","FullProject","LogutTest","validLoginTC"
"","5055","verifyInvalidQuantityTC","Default Suite","2025-11-25","failed","2025-11-25","WishlistTest","FullProject","WishlistTest","verifyInvalidQuantityTC"
"","8162","selectProductOptionsWithLoginTC","Default Suite","2025-11-24","passed","2025-11-24","ProductDetailsTest","FullProject","ProductDetailsTest","selectProductOptionsWithLoginTC"
"","3915","verifyAddToCartButtonsAreDisplayedTC","Default Suite","2025-11-25","failed","2025-11-25","ProductTest","FullProject","ProductTest","verifyAddToCartButtonsAreDisplayedTC"
"","5635","SearchWithInvalidProductNameTC","Default Suite","2025-11-20","failed","2025-11-20","HomeTest","FullProject","HomeTest","SearchWithInvalidProductNameTC"
"","1840","verifyNavigatingToCheckOutPageTC","Default Suite","2025-11-25","failed","2025-11-25","ShoppingCartTest","FullProject","ShoppingCartTest","verifyNavigatingToCheckOutPageTC"
"","1268","logoutTest","Default Suite","2025-11-17","passed","2025-11-17","LogutTest","FullProject","LogutTest","logoutTest"
